               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10376,             0.15422,                   0,           0.0036453,             0.35904,           0.0059238,           0.0010607,            0.087921,             0.10845,                   0,           0.0033121,           0.0033121,            0.070191
                   1,            0.087971,            0.078374,                   0,             0.16576,             0.11277,            0.054137,            0.010567,            0.076449,            0.062395,                   0,           0.0059875,           0.0059875,            0.039533
                   2,            0.079577,             0.05339,                   0,             0.12738,             0.18732,            0.080409,            0.014984,            0.073098,            0.048194,                   0,            0.008003,            0.008003,           0.0082153
                   3,            0.072761,            0.046386,                   0,             0.37465,             0.29523,             0.24672,            0.065447,            0.059968,            0.046385,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.066668,             0.04323,                   0,             0.48752,             0.40181,             0.37067,             0.10801,            0.053772,            0.041544,                   0,             0.00703,             0.00703,             0.00703
                   5,             0.06166,            0.043191,                   0,             0.52818,             0.51585,             0.48856,             0.14459,            0.050567,            0.039725,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.057196,            0.040844,                   0,             0.60006,             0.51372,             0.55575,             0.19718,            0.046056,            0.038304,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.054488,            0.039789,                   0,              0.5605,              0.5488,             0.56319,             0.19143,            0.044788,            0.038299,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.053036,            0.038425,                   0,              0.5974,             0.57764,             0.58706,             0.22147,             0.04388,            0.039691,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.051886,            0.037214,                   0,             0.64002,             0.63813,              0.6635,             0.26258,            0.041418,            0.036058,                   0,             0.00208,             0.00208,             0.00208
