               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090426,            0.090946,                   0,              0.3109,              0.4114,             0.29178,            0.079716,            0.054645,            0.046685,                   0,           0.0033121,           0.0033121,            0.070191
                   1,             0.06693,            0.042037,                   0,             0.27099,             0.40768,             0.20269,            0.039317,            0.061698,            0.039803,                   0,           0.0059875,           0.0059875,            0.039533
                   2,             0.06193,             0.03802,                   0,             0.47217,             0.55396,             0.45928,             0.14417,             0.04872,            0.038714,                   0,            0.008003,            0.008003,           0.0082153
                   3,            0.055786,             0.03665,                   0,             0.62739,             0.63336,             0.65328,             0.24524,            0.043631,            0.037272,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.051681,            0.035366,                   0,             0.62803,             0.67493,             0.69306,             0.27939,            0.040841,            0.034939,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.047898,            0.036545,                   0,             0.68515,              0.7053,             0.74091,             0.31126,            0.039556,            0.033369,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.046131,            0.034759,                   0,             0.72399,             0.71383,             0.74372,             0.31676,            0.038714,            0.034157,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.045342,            0.034037,                   0,             0.71889,             0.73888,             0.78148,             0.32989,             0.03775,            0.032352,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.044695,            0.033139,                   0,             0.73875,             0.74607,             0.79792,             0.34542,            0.037472,            0.031717,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.043983,            0.032474,                   0,             0.75286,             0.76152,             0.80973,             0.35992,            0.036556,            0.031234,                   0,             0.00208,             0.00208,             0.00208
